Year,Beer,Wine,Spirits,All beverages
2012,1.13,0.42,0.78,2.33
2011,1.12,0.4,0.76,2.28
2010,1.14,0.39,0.74,2.27
2009,1.17,0.38,0.74,2.29
2008,1.2,0.38,0.73,2.31
2007,1.2,0.38,0.73,2.31
2006,1.2,0.37,0.71,2.28
2005,1.19,0.36,0.7,2.24
2004,1.21,0.35,0.68,2.24
2003,1.21,0.34,0.67,2.22
2002,1.23,0.33,0.65,2.21
2001,1.23,0.31,0.64,2.18
2000,1.22,0.31,0.64,2.18
1999,1.23,0.31,0.63,2.16
1998,1.22,0.3,0.62,2.14
1997,1.22,0.3,0.62,2.14
1996,1.23,0.3,0.63,2.16
1995,1.23,0.29,0.63,2.15
1994,1.25,0.28,0.65,2.18
1993,1.26,0.28,0.68,2.23
1992,1.29,0.3,0.71,2.3
1991,1.29,0.3,0.71,2.3
1990,1.34,0.33,0.77,2.45
1989,1.31,0.34,0.77,2.42
1988,1.33,0.36,0.79,2.48
1987,1.34,0.38,0.82,2.54
1986,1.34,0.39,0.84,2.58
1985,1.33,0.38,0.9,2.62
1984,1.35,0.37,0.94,2.65
1983,1.37,0.36,0.96,2.69
1982,1.38,0.36,0.98,2.72
1981,1.39,0.35,1.02,2.76
1980,1.38,0.34,1.04,2.76
1979,1.37,0.32,1.06,2.75
1978,1.33,0.31,1.07,2.71
1977,1.29,0.29,1.06,2.64
1976,1.27,0.32,1.1,2.69
1975,1.26,0.32,1.11,2.69
1974,1.25,0.31,1.11,2.67
1973,1.2,0.31,1.1,2.62
1972,1.17,0.3,1.09,2.56
1971,1.15,0.31,1.12,2.59
1970,1.14,0.27,1.11,2.52
1969,1.12,0.26,1.13,2.51
1968,1.09,0.26,1.1,2.45
1967,1.07,0.25,1.05,2.37
1966,1.06,0.24,1.02,2.32
1965,1.04,0.24,0.99,2.27
1964,1.04,0.24,0.95,2.23
1963,1.01,0.23,0.91,2.15
1962,0.99,0.22,0.9,2.11
1961,0.97,0.23,0.86,2.06
1960,0.99,0.22,0.86,2.07
1959,1,0.22,0.84,2.06
1958,0.96,0.22,0.8,1.98
1957,0.97,0.22,0.8,1.99
1956,1,0.22,0.81,2.03
1955,1.01,0.22,0.77,2
1954,1.01,0.21,0.74,1.96
1953,1.04,0.2,0.77,2.01
1952,1.04,0.21,0.73,1.98
1951,1.03,0.2,0.78,2.01
1950,1.04,0.23,0.77,2.04
1949,1.06,0.22,0.7,1.98
1948,1.07,0.2,0.7,1.97
1947,1.11,0.16,0.76,2.03
1946,1.07,0.24,0.99,2.3
1945,1.17,0.2,0.88,2.25
1944,1.13,0.18,0.76,2.07
1943,1,0.17,0.66,1.83
1942,0.9,0.22,0.85,1.97
1941,0.81,0.18,0.71,1.7
1940,0.73,0.16,0.67,1.56
1939,0.75,0.14,0.62,1.51
1938,0.75,0.13,0.59,1.47
1937,0.82,0.13,0.64,1.59
1936,0.79,0.12,0.59,1.5
1935,0.68,0.09,0.43,1.2
1934,0.61,0.07,0.29,0.97
1933,,,,
1932,,,,
1931,,,,
1930,,,,
1929,,,,
1928,,,,
1927,,,,
1926,,,,
1925,,,,
1924,,,,
1923,,,,
1922,,,,
1921,,,,
1920,,,,
1919,1.08,0.12,0.76,1.96
1918,1.08,0.12,0.76,1.96
1917,1.08,0.12,0.76,1.96
1916,1.08,0.12,0.76,1.96
1915,1.48,0.14,0.94,2.56
1914,1.48,0.14,0.94,2.56
1913,1.48,0.14,0.94,2.56
1912,1.48,0.14,0.94,2.56
1911,1.48,0.14,0.94,2.56
1910,1.47,0.17,0.96,2.6
1909,1.47,0.17,0.96,2.6
1908,1.47,0.17,0.96,2.6
1907,1.47,0.17,0.96,2.6
1906,1.47,0.17,0.96,2.6
1905,1.31,0.13,0.95,2.39
1904,1.31,0.13,0.95,2.39
1903,1.31,0.13,0.95,2.39
1902,1.31,0.13,0.95,2.39
1901,1.31,0.13,0.95,2.39
1900,1.19,0.1,0.77,2.06
1899,1.19,0.1,0.77,2.06
1898,1.19,0.1,0.77,2.06
1897,1.19,0.1,0.77,2.06
1896,1.19,0.1,0.77,2.06
1895,1.17,0.11,0.95,2.23
1894,1.17,0.11,0.95,2.23
1893,1.17,0.11,0.95,2.23
1892,1.17,0.11,0.95,2.23
1891,1.17,0.11,0.95,2.23
1890,0.9,0.14,0.95,1.99
1889,0.9,0.14,0.95,1.99
1888,0.9,0.14,0.95,1.99
1887,0.9,0.14,0.95,1.99
1886,0.9,0.14,0.95,1.99
1885,0.9,0.14,0.95,1.99
1884,0.9,0.14,0.95,1.99
1883,0.9,0.14,0.95,1.99
1882,0.9,0.14,0.95,1.99
1881,0.9,0.14,0.95,1.99
1880,0.56,0.14,1.02,1.72
1879,0.56,0.14,1.02,1.72
1878,0.56,0.14,1.02,1.72
1877,0.56,0.14,1.02,1.72
1876,0.56,0.14,1.02,1.72
1875,0.56,0.14,1.02,1.72
1874,0.56,0.14,1.02,1.72
1873,0.56,0.14,1.02,1.72
1872,0.56,0.14,1.02,1.72
1871,0.56,0.14,1.02,1.72
1870,0.44,0.1,1.53,2.07
1860,0.27,0.1,2.16,2.53
1850,0.14,0.08,1.88,2.1
